,ip,province,city,company
459,173.123.59.139,Texas,Houston,Sprint Communications Inc.
460,174.255.131.241,Louisiana,Natchitoches,Verizon Wireless
461,64.134.31.44,Texas,Austin,Wayport Inc.
462,172.58.70.192,Oklahoma,Oklahoma City,T-Mobile USA Inc.
463,70.123.198.193,Texas,San Antonio,Charter Communications Inc
464,107.77.80.92,Texas,San Antonio,AT&T Mobility LLC
465,96.89.11.37,Virginia,Richmond,Comcast Cable Communications LLC
466,172.56.15.46,Texas,Houston,T-Mobile USA Inc.
467,172.58.108.94,Texas,Sherman,T-Mobile USA Inc.
468,38.95.108.230,California,Los Angeles,PSINet Inc.
469,99.203.154.173,Texas,Houston,Sprint Communications Inc.
470,76.204.29.215,Texas,San Antonio,AT&T Corp.
471,162.72.0.173,North Carolina,Wilmington,Viasat Inc.
472,107.77.80.128,Texas,San Antonio,AT&T Mobility LLC
473,99.203.26.254,Texas,Houston,Sprint Communications Inc.
474,166.137.143.123,Texas,DeSoto,AT&T Mobility LLC
475,173.173.118.83,Texas,San Antonio,Charter Communications Inc
476,66.102.6.9,California,Mountain View,Google LLC
477,84.14.10.91,Ile-de-France,Paris,Hammerson France
478,4.16.216.161,Texas,San Antonio,Level 3 Communications Inc.
479,70.121.204.76,Texas,San Antonio,Charter Communications Inc
480,66.69.50.45,Texas,San Antonio,Charter Communications Inc
481,45.31.213.223,Texas,San Antonio,AT&T Corp.
482,173.174.196.212,Texas,San Antonio,Charter Communications Inc
483,104.53.202.214,Texas,San Antonio,AT&T Corp.
484,72.181.104.30,Texas,San Antonio,Charter Communications Inc
485,24.28.70.46,Texas,Austin,Charter Communications Inc
486,74.50.118.217,Florida,Tampa,NOC4HOSTS Inc.
487,68.206.106.64,Texas,El Paso,Charter Communications Inc
488,104.219.136.100,Texas,San Antonio,Rock Solid Internet & Telephone
489,67.11.172.66,Texas,San Antonio,Charter Communications Inc
490,96.8.172.51,Texas,San Antonio,Guadalupe Valley Telephone Cooperative Inc.
491,67.11.175.66,Texas,San Antonio,Charter Communications Inc
492,104.219.136.105,Texas,San Antonio,Rock Solid Internet & Telephone
493,174.255.137.106,Oklahoma,Ponca City,Verizon Wireless
494,12.52.157.98,Texas,San Antonio,New Horizons Communications Corporation
495,99.132.129.169,Texas,San Antonio,AT&T Corp.
496,99.158.248.205,Texas,San Antonio,AT&T Corp.
497,66.25.163.2,Texas,San Antonio,Charter Communications Inc
498,104.131.47.203,New Jersey,Clifton,DigitalOcean LLC
499,70.122.230.225,Texas,Dallas,Charter Communications Inc
500,172.56.7.244,Texas,Waxahachie,T-Mobile USA Inc.
501,70.121.185.146,Texas,San Antonio,Charter Communications Inc
502,66.90.136.214,Texas,Cedar Park,Grande Communications Austin
503,72.190.156.176,Texas,San Antonio,Charter Communications Inc
504,96.64.210.98,California,Pleasanton,Comcast Cable Communications LLC
505,98.6.151.46,Texas,San Antonio,Charter Communications Inc
506,177.247.132.187,Sinaloa,Culiacan,Mega Cable S.A. de C.V.
507,174.255.131.179,Louisiana,Natchitoches,Verizon Wireless
508,99.101.216.49,Texas,San Antonio,AT&T Corp.
509,70.121.136.2,Texas,San Antonio,Charter Communications Inc
510,70.118.58.130,Texas,San Antonio,Botanical Gardens/Conservatory
511,71.42.218.131,Texas,Austin,Six Continents Hotel - Holiday Inn Express
512,108.199.115.75,Texas,San Antonio,AT&T Corp.
513,96.40.234.116,Wisconsin,Watertown,Charter Communications Inc
514,76.218.41.171,Texas,Dallas,AT&T Corp.
515,73.240.127.111,Oregon,Portland,Comcast Cable Communications LLC
516,107.77.66.93,Texas,Sugar Land,AT&T Mobility LLC
517,107.77.218.40,Texas,San Antonio,AT&T Mobility LLC
518,72.191.31.35,Texas,San Antonio,Charter Communications Inc
519,72.181.104.64,Texas,San Antonio,Charter Communications Inc
520,24.26.246.52,Texas,San Antonio,Charter Communications Inc
521,99.158.247.252,Texas,San Antonio,AT&T Corp.
522,72.48.8.218,Texas,San Antonio,Grande Communications San Antonio Hub
523,107.77.105.78,Texas,Kingsville,AT&T Mobility LLC
524,72.177.192.121,Texas,San Antonio,Charter Communications Inc
525,99.27.138.170,Texas,San Antonio,AT&T Corp.
526,72.178.123.71,Texas,San Antonio,Charter Communications Inc
527,99.147.236.67,Texas,San Antonio,AT&T Corp.
528,161.38.221.206,Florida,Fort Lauderdale,The Arts Institutes International LLC
529,172.58.67.35,Texas,Mission,T-Mobile USA Inc.
530,172.8.175.156,Texas,San Antonio,AT&T Corp.
531,107.204.53.24,Texas,San Antonio,AT&T Corp.
532,107.77.80.83,Texas,San Antonio,AT&T Mobility LLC
533,99.203.155.177,Texas,Houston,Sprint Communications Inc.
534,76.250.155.202,Texas,San Antonio,AT&T Corp.
535,172.58.109.251,New Mexico,Albuquerque,T-Mobile USA Inc.
536,97.105.53.195,Texas,San Antonio,Starbucks
537,173.173.100.45,Texas,San Antonio,Charter Communications Inc
538,97.105.213.82,Texas,New Braunfels,Country Hospitality LLC.
539,148.66.37.91,Texas,San Antonio,Jump Fiber
540,129.112.109.42,Texas,Hurst,University of Texas
541,173.173.47.94,Texas,Waco,Charter Communications Inc
542,107.129.209.3,Texas,San Antonio,AT&T Corp.
543,74.197.69.72,Texas,San Angelo,Suddenlink Communications
544,70.94.132.9,Texas,New Braunfels,Charter Communications Inc
545,76.185.168.145,Texas,San Antonio,Charter Communications Inc
546,45.31.212.160,Texas,San Antonio,AT&T Corp.
547,137.242.1.129,Texas,San Antonio,Air Force Systems Networking
548,174.207.19.222,Texas,Plainview,Verizon Wireless
549,108.66.243.159,Texas,San Antonio,AT&T Corp.
550,129.112.109.40,Texas,Hurst,University of Texas
551,172.58.67.105,Texas,Mission,T-Mobile USA Inc.
552,72.181.98.94,Texas,San Antonio,Charter Communications Inc
553,173.174.240.181,Texas,San Antonio,Charter Communications Inc
554,97.98.16.4,Texas,Portland,Charter Communications Inc
555,174.207.12.44,Texas,Pflugerville,Verizon Wireless
556,76.185.149.233,Texas,San Antonio,Charter Communications Inc
557,172.58.111.245,Texas,Austin,T-Mobile USA Inc.
558,12.16.232.100,Virginia,Colonial Heights,Broadband Hospitality
559,166.137.118.110,Louisiana,Lafayette,AT&T Mobility LLC
560,166.137.118.47,Louisiana,Lafayette,AT&T Mobility LLC
561,173.173.106.139,Texas,San Antonio,Charter Communications Inc
562,174.255.146.172,Texas,Paris,Verizon Wireless
563,172.58.111.159,Texas,Austin,T-Mobile USA Inc.
564,192.138.47.30,Ohio,Columbus,DoD Network Information Center
565,24.243.59.91,Texas,San Antonio,Charter Communications Inc
566,205.157.120.4,Nevada,Elko,Office Depot
567,107.77.169.8,Texas,Houston,AT&T Mobility LLC
568,172.58.67.140,Texas,Mission,T-Mobile USA Inc.
569,166.137.126.34,Texas,Marshall,AT&T Mobility LLC
570,107.77.66.54,Texas,Sugar Land,AT&T Mobility LLC
571,107.77.94.128,Mississippi,Tupelo,AT&T Mobility LLC
572,12.34.237.242,Texas,San Antonio,Beldon Roofing Company
573,70.121.196.204,Texas,San Antonio,Charter Communications Inc
574,107.77.94.80,Mississippi,Tupelo,AT&T Mobility LLC
575,107.77.94.123,Mississippi,Tupelo,AT&T Mobility LLC
576,107.77.94.33,Mississippi,Tupelo,AT&T Mobility LLC
577,166.137.139.115,Arkansas,Fayetteville,AT&T Mobility LLC
578,66.102.6.171,California,Mountain View,Google LLC
579,66.102.6.173,California,Mountain View,Google LLC
580,66.102.6.169,California,Mountain View,Google LLC
581,172.56.7.146,Texas,Waxahachie,T-Mobile USA Inc.
582,174.255.186.213,California,San Bernardino,Verizon Wireless
583,167.220.152.20,Virginia,Bristow,Microsoft Corporation
584,172.58.67.44,Texas,Mission,T-Mobile USA Inc.
585,107.77.100.57,Texas,San Antonio,AT&T Mobility LLC
586,107.77.105.20,Texas,Kingsville,AT&T Mobility LLC
587,172.5.103.185,Texas,San Antonio,AT&T Corp.
588,172.58.67.173,Texas,Mission,T-Mobile USA Inc.
589,107.77.105.45,Texas,Kingsville,AT&T Mobility LLC
590,66.69.49.204,Texas,San Antonio,Charter Communications Inc
591,107.77.105.117,Texas,Kingsville,AT&T Mobility LLC
592,107.77.105.112,Texas,Kingsville,AT&T Mobility LLC
593,107.77.72.36,Texas,Beaumont,AT&T Mobility LLC
594,107.77.100.48,Texas,San Antonio,AT&T Mobility LLC
595,107.77.105.126,Texas,Kingsville,AT&T Mobility LLC
596,172.58.102.236,Florida,Clearwater,T-Mobile USA Inc.
597,172.58.70.163,Oklahoma,Oklahoma City,T-Mobile USA Inc.
598,209.12.105.54,Texas,San Antonio,Xspedius Communications Co.
599,173.149.192.150,Texas,Houston,Sprint Communications Inc.
600,71.40.81.37,Texas,Austin,Gran Hyatt Hotel
601,24.160.135.99,Texas,San Antonio,Charter Communications Inc
602,107.77.105.92,Texas,Kingsville,AT&T Mobility LLC
603,174.255.154.236,Texas,Waco,Verizon Wireless
604,71.78.217.82,Texas,San Antonio,Charter Communications Inc
605,64.134.26.193,Texas,Austin,Wayport Inc.
606,173.255.139.216,Texas,Dallas,Hosting Services Inc.
607,216.177.189.26,Texas,Gonzales,GVTC-Dialup Dynamic Pool
608,24.54.124.11,Texas,Granite Shoals,Northland Cable Television Inc.
609,75.1.128.18,Texas,San Antonio,AT&T Corp.
610,108.249.226.232,Texas,El Paso,AT&T Corp.
611,67.44.176.135,Florida,Bonifay,Hughes Network Systems LLC-ON
612,72.181.37.22,Texas,Laguna Vista,Charter Communications Inc
613,185.151.12.242,Pennsylvania,Springs,Vital Network Group LLC
614,107.77.100.108,Texas,San Antonio,AT&T Mobility LLC
615,70.120.24.167,Texas,San Antonio,Charter Communications Inc
616,137.242.1.128,Texas,San Antonio,Air Force Systems Networking
617,209.12.105.53,Texas,San Antonio,Xspedius Communications Co.
618,172.58.99.22,Texas,Houston,T-Mobile USA Inc.
619,71.78.67.37,Texas,San Antonio,Charter Communications Inc
620,107.77.80.20,Texas,San Antonio,AT&T Mobility LLC
621,8.31.0.128,Pennsylvania,Bala Cynwyd,HWC Cable
622,72.177.116.71,Texas,Fredericksburg,Charter Communications Inc
623,174.255.155.223,Florida,Fort Lauderdale,Verizon Wireless
624,104.219.136.53,Texas,San Antonio,Rock Solid Internet & Telephone
625,99.27.139.172,Texas,San Antonio,AT&T Corp.
626,107.77.66.26,Texas,Sugar Land,AT&T Mobility LLC
627,107.204.50.101,Texas,San Antonio,AT&T Corp.
628,97.105.19.58,Texas,San Antonio,Codeup LLC
629,172.58.70.191,Oklahoma,Oklahoma City,T-Mobile USA Inc.
630,107.77.80.57,Texas,San Antonio,AT&T Mobility LLC
631,75.1.166.50,Texas,San Antonio,AT&T Corp.
632,172.58.111.172,Texas,Austin,T-Mobile USA Inc.
633,199.59.33.125,Texas,San Antonio,HEB Grocery Company LP
634,12.131.8.222,Texas,San Antonio,Liquid Web Inc.
635,167.24.24.150,Texas,San Antonio,USAA
636,98.6.75.74,Texas,Plano,Varco Venture X-5 LLC
637,12.27.152.137,Texas,San Antonio,United Services Automobi
638,136.50.0.214,Texas,San Antonio,Google Fiber Inc.
639,184.169.45.4,Illinois,Northfield,Row 44 Inc.
640,98.6.222.42,Texas,San Antonio,Beldon Roofing
641,107.77.105.75,Texas,Kingsville,AT&T Mobility LLC
642,173.123.212.81,Texas,Houston,Sprint Communications Inc.
643,166.137.136.55,Texas,Tyler,AT&T Mobility LLC
644,66.3.38.202,Texas,Georgetown,Verizon Communications Inc.
645,98.6.99.131,Texas,San Antonio,Starbucks
646,104.237.80.81,Texas,Dallas,Micfo LLC.
647,173.239.232.97,Texas,Plano,North American Cable Television and Internet LLC
648,173.174.244.161,Texas,San Antonio,Charter Communications Inc
649,107.77.100.46,Texas,San Antonio,AT&T Mobility LLC
650,148.59.156.46,Texas,San Antonio,Celltex Networks LLC
651,70.121.185.2,Texas,San Antonio,Charter Communications Inc
652,66.3.38.170,Texas,Georgetown,Verizon Communications Inc.
653,70.120.3.242,Texas,San Antonio,Charter Communications Inc
654,173.239.232.141,Texas,Plano,North American Cable Television and Internet LLC
655,137.254.7.178,California,Belmont,Oracle Corporation
656,104.237.80.107,Texas,Dallas,Micfo LLC.
657,70.120.230.205,Texas,El Paso,Charter Communications Inc
658,104.237.80.34,Texas,Dallas,Micfo LLC.
659,104.237.80.102,Texas,Dallas,Micfo LLC.
660,72.190.161.136,Texas,San Antonio,Charter Communications Inc
661,108.253.53.1,Texas,San Antonio,AT&T Corp.
662,173.239.232.35,Texas,Plano,North American Cable Television and Internet LLC
663,72.177.171.217,Texas,San Antonio,Charter Communications Inc
664,66.25.164.171,Texas,San Antonio,Charter Communications Inc
665,72.48.66.216,Texas,San Antonio,Grande Communications San Antonio Hub
666,173.175.122.123,Texas,San Antonio,Charter Communications Inc
667,66.25.80.16,Texas,San Antonio,Charter Communications Inc
668,173.239.232.174,Texas,Plano,North American Cable Television and Internet LLC
669,104.237.80.12,Texas,Dallas,Micfo LLC.
670,70.125.144.209,Texas,San Antonio,Charter Communications Inc
671,108.73.55.208,Texas,San Antonio,AT&T Corp.
672,64.250.9.218,Texas,San Antonio,Gvec.net Inc.
673,173.239.232.76,Texas,Plano,North American Cable Television and Internet LLC
674,107.77.72.49,Texas,Beaumont,AT&T Mobility LLC
675,99.33.48.253,Texas,San Antonio,AT&T Corp.
676,107.135.88.8,Texas,San Antonio,AT&T Corp.
677,173.174.218.183,Texas,San Antonio,Charter Communications Inc
678,173.239.232.92,Texas,Plano,North American Cable Television and Internet LLC
679,173.239.232.28,Texas,Plano,North American Cable Television and Internet LLC
680,208.73.111.171,Maryland,Rockville,Accenture
681,104.237.80.44,Texas,Dallas,Micfo LLC.
682,192.67.54.12,Texas,Pleasanton,Randolph-Brooks Federal Credit Union
683,173.239.232.22,Texas,Plano,North American Cable Television and Internet LLC
684,99.203.90.71,Texas,Houston,Sprint Communications Inc.
685,104.237.80.105,Texas,Dallas,Micfo LLC.
686,67.79.43.254,Texas,Mission,Charter Communications Inc
687,104.237.80.120,Texas,Dallas,Micfo LLC.
688,173.239.232.106,Texas,Plano,North American Cable Television and Internet LLC
689,104.237.80.51,Texas,Dallas,Micfo LLC.
690,107.77.66.121,Texas,Sugar Land,AT&T Mobility LLC
691,99.52.75.127,Texas,San Antonio,AT&T Corp.
692,107.77.80.91,Texas,San Antonio,AT&T Mobility LLC
693,173.239.232.128,Texas,Plano,North American Cable Television and Internet LLC
694,104.1.46.153,Texas,San Antonio,AT&T Corp.
695,104.237.80.141,Texas,Dallas,Micfo LLC.
696,107.77.100.109,Texas,San Antonio,AT&T Mobility LLC
697,104.237.80.68,Texas,Dallas,Micfo LLC.
698,104.237.80.15,Texas,Dallas,Micfo LLC.
699,104.237.80.59,Texas,Dallas,Micfo LLC.
700,24.26.249.169,Texas,San Antonio,Charter Communications Inc
701,70.122.250.222,Texas,Arlington,Charter Communications Inc
702,64.233.172.173,California,Mountain View,Google LLC
703,64.233.172.171,California,Mountain View,Google LLC
704,64.233.172.169,California,Mountain View,Google LLC
705,172.58.111.180,Texas,Austin,T-Mobile USA Inc.
706,70.125.138.191,Texas,San Antonio,Charter Communications Inc
707,173.239.240.116,Illinois,Elk Grove Village,North American Cable Television and Internet LLC
708,172.127.185.99,Texas,San Antonio,AT&T Corp.
709,107.207.1.245,Texas,San Antonio,AT&T Corp.
710,99.154.136.190,Washington,Redmond,Diana Cole
711,107.77.100.60,Texas,San Antonio,AT&T Mobility LLC
712,66.25.171.4,Texas,San Antonio,Charter Communications Inc
713,107.77.66.115,Texas,Sugar Land,AT&T Mobility LLC
714,66.25.163.226,Texas,San Antonio,Charter Communications Inc
715,173.239.240.49,Illinois,Elk Grove Village,North American Cable Television and Internet LLC
716,104.237.80.38,Texas,Dallas,Micfo LLC.
717,104.237.80.147,Texas,Dallas,Micfo LLC.
718,104.237.80.77,Texas,Dallas,Micfo LLC.
719,104.237.80.108,Texas,Dallas,Micfo LLC.
720,97.79.234.116,Texas,San Antonio,Starbucks
721,72.179.173.100,Texas,San Antonio,Charter Communications Inc
722,107.77.80.76,Texas,San Antonio,AT&T Mobility LLC
723,172.58.109.6,New Mexico,Albuquerque,T-Mobile USA Inc.
724,173.239.232.172,Texas,Plano,North American Cable Television and Internet LLC
725,172.58.96.229,Texas,Houston,T-Mobile USA Inc.
726,137.254.7.165,California,Belmont,Oracle Corporation
727,104.237.80.109,Texas,Dallas,Micfo LLC.
728,72.177.174.171,Texas,San Antonio,Charter Communications Inc
729,173.239.232.46,Texas,Plano,North American Cable Television and Internet LLC
730,71.42.245.250,Texas,San Antonio,Columbia Industries
731,173.239.232.89,Texas,Plano,North American Cable Television and Internet LLC
732,104.237.80.151,Texas,Dallas,Micfo LLC.
733,104.237.80.106,Texas,Dallas,Micfo LLC.
734,104.237.80.36,Texas,Dallas,Micfo LLC.
735,104.237.80.16,Texas,Dallas,Micfo LLC.
736,173.239.232.8,Texas,Plano,North American Cable Television and Internet LLC
737,173.239.232.146,Texas,Plano,North American Cable Television and Internet LLC
738,72.48.254.209,Texas,San Antonio,Grande Communications San Antonio
739,173.239.232.94,Texas,Plano,North American Cable Television and Internet LLC
740,104.237.80.57,Texas,Dallas,Micfo LLC.
741,173.239.232.5,Texas,Plano,North American Cable Television and Internet LLC
742,107.77.80.29,Texas,San Antonio,AT&T Mobility LLC
743,173.239.232.61,Texas,Plano,North American Cable Television and Internet LLC
744,104.237.80.167,Texas,Dallas,Micfo LLC.
745,70.94.164.72,Texas,San Antonio,Charter Communications Inc
746,173.239.232.113,Texas,Plano,North American Cable Television and Internet LLC
747,173.239.232.98,Texas,Plano,North American Cable Television and Internet LLC
748,72.181.117.243,Texas,San Antonio,Charter Communications Inc
749,173.239.232.47,Texas,Plano,North American Cable Television and Internet LLC
750,107.77.100.18,Texas,San Antonio,AT&T Mobility LLC
751,104.191.11.147,Texas,San Antonio,AT&T Corp.
752,97.98.85.151,Texas,Corpus Christi,Charter Communications Inc
753,173.239.232.95,Texas,Plano,North American Cable Television and Internet LLC
754,66.69.37.36,Texas,San Antonio,Charter Communications Inc
755,69.166.71.6,Texas,San Antonio,Guadalupe Valley Telephone Cooperative Inc.
756,71.41.8.13,Texas,San Antonio,Starbucks
757,12.71.182.66,Texas,San Antonio,LabcorpAttn IT Finance
758,47.218.185.241,Texas,Bryan,Suddenlink Communications
759,107.77.100.128,Texas,San Antonio,AT&T Mobility LLC
760,165.91.13.35,Texas,Austin,Texas A&M University
761,173.174.212.111,Texas,San Antonio,Charter Communications Inc
762,173.239.232.49,Texas,Plano,North American Cable Television and Internet LLC
763,162.72.2.198,Arkansas,Monticello,Viasat Inc.
764,107.77.220.11,Texas,Houston,AT&T Mobility LLC
765,104.237.80.53,Texas,Dallas,Micfo LLC.
766,104.237.80.150,Texas,Dallas,Micfo LLC.
767,173.239.232.149,Texas,Plano,North American Cable Television and Internet LLC
768,173.239.232.99,Texas,Plano,North American Cable Television and Internet LLC
769,104.237.80.157,Texas,Dallas,Micfo LLC.
770,137.254.7.172,California,Belmont,Oracle Corporation
771,104.237.80.21,Texas,Dallas,Micfo LLC.
772,104.237.80.24,Texas,Dallas,Micfo LLC.
773,107.77.220.190,Texas,Houston,AT&T Mobility LLC
774,107.77.221.108,Texas,Corpus Christi,AT&T Mobility LLC
775,104.237.80.114,Texas,Dallas,Micfo LLC.
776,67.11.100.255,Texas,San Antonio,Charter Communications Inc
777,173.239.232.120,Texas,Plano,North American Cable Television and Internet LLC
778,104.237.80.93,Texas,Dallas,Micfo LLC.
779,104.237.80.88,Texas,Dallas,Micfo LLC.
780,162.195.148.122,Texas,San Antonio,AT&T Corp.
781,173.239.232.103,Texas,Plano,North American Cable Television and Internet LLC
782,104.237.80.158,Texas,Dallas,Micfo LLC.
783,173.173.121.51,Texas,San Antonio,Charter Communications Inc
784,199.59.33.126,Texas,San Antonio,HEB Grocery Company LP
785,173.239.232.142,Texas,Plano,North American Cable Television and Internet LLC
786,104.237.80.31,Texas,Dallas,Micfo LLC.
787,107.77.218.225,Texas,San Antonio,AT&T Mobility LLC
788,172.58.67.207,Texas,Mission,T-Mobile USA Inc.
789,72.179.184.241,Texas,San Antonio,Charter Communications Inc
790,174.255.145.205,Texas,Grapevine,Verizon Wireless
791,174.255.137.57,Oklahoma,Ponca City,Verizon Wireless
792,72.181.33.132,Texas,Laguna Vista,Charter Communications Inc
793,172.58.99.179,Texas,Houston,T-Mobile USA Inc.
794,173.175.82.174,Texas,Corpus Christi,Charter Communications Inc
795,67.10.163.140,Texas,San Antonio,Charter Communications Inc
796,70.94.153.55,Texas,Universal City,Charter Communications Inc
797,67.10.174.56,Texas,San Antonio,Charter Communications Inc
798,107.77.218.190,Texas,San Antonio,AT&T Mobility LLC
799,107.77.218.37,Texas,San Antonio,AT&T Mobility LLC
800,162.245.202.3,Texas,San Antonio,Guadalupe Valley Telephone Cooperative Inc.
801,107.77.221.157,Texas,Corpus Christi,AT&T Mobility LLC
802,173.239.232.45,Texas,Plano,North American Cable Television and Internet LLC
803,173.239.232.144,Texas,Plano,North American Cable Television and Internet LLC
804,104.237.80.119,Texas,Dallas,Micfo LLC.
805,70.117.71.59,Texas,San Antonio,Charter Communications Inc
806,104.237.80.48,Texas,Dallas,Micfo LLC.
807,173.239.232.20,Texas,Plano,North American Cable Television and Internet LLC
808,104.237.80.144,Texas,Dallas,Micfo LLC.
809,104.237.80.111,Texas,Dallas,Micfo LLC.
810,99.203.154.58,Texas,Houston,Sprint Communications Inc.
811,196.52.2.25,New York,New York City,LogicWeb Inc
812,196.52.2.71,New York,New York City,LogicWeb Inc
813,104.237.80.55,Texas,Dallas,Micfo LLC.
814,196.52.2.59,New York,New York City,LogicWeb Inc
815,172.58.109.83,New Mexico,Albuquerque,T-Mobile USA Inc.
816,107.77.221.191,Texas,Corpus Christi,AT&T Mobility LLC
817,99.203.27.126,Texas,Houston,Sprint Communications Inc.
818,173.239.232.170,Texas,Plano,North American Cable Television and Internet LLC
819,104.237.80.117,Texas,Dallas,Micfo LLC.
820,104.237.80.40,Texas,Dallas,Micfo LLC.
821,45.30.141.87,Texas,San Antonio,AT&T Corp.
822,173.239.232.129,Texas,Plano,North American Cable Television and Internet LLC
823,104.237.80.10,Texas,Dallas,Micfo LLC.
824,67.79.223.235,Texas,San Antonio,Starbucks
825,107.77.220.95,Texas,Houston,AT&T Mobility LLC
826,173.239.232.29,Texas,Plano,North American Cable Television and Internet LLC
827,167.24.104.150,Georgia,Roswell,USAA
828,173.239.232.139,Texas,Plano,North American Cable Television and Internet LLC
829,173.239.232.143,Texas,Plano,North American Cable Television and Internet LLC
830,137.254.7.174,California,Belmont,Oracle Corporation
831,173.239.198.246,California,San Francisco,VPN Consumer Network
832,107.77.222.63,Texas,San Antonio,AT&T Mobility LLC
833,173.239.232.157,Texas,Plano,North American Cable Television and Internet LLC
834,104.15.39.87,Texas,San Antonio,AT&T Corp.
835,137.254.7.184,California,Belmont,Oracle Corporation
836,173.239.232.152,Texas,Plano,North American Cable Television and Internet LLC
837,174.255.148.28,Arkansas,Russellville,Verizon Wireless
838,173.239.232.140,Texas,Plano,North American Cable Television and Internet LLC
839,172.58.67.38,Texas,Mission,T-Mobile USA Inc.
840,24.214.254.251,Florida,Clearwater,Knology Inc.
841,24.214.254.244,Florida,Clearwater,Knology Inc.
842,107.77.221.152,Texas,Corpus Christi,AT&T Mobility LLC
843,107.77.221.127,Texas,Corpus Christi,AT&T Mobility LLC
844,184.203.184.92,Arizona,Phoenix,Sprint Communications Inc.
845,172.58.67.77,Texas,Mission,T-Mobile USA Inc.
846,173.239.198.250,California,San Francisco,VPN Consumer Network
847,173.239.198.230,California,San Francisco,VPN Consumer Network
848,173.239.232.75,Texas,Plano,North American Cable Television and Internet LLC
849,173.239.232.85,Texas,Plano,North American Cable Television and Internet LLC
850,136.62.18.97,Texas,Austin,Google Fiber Inc.
851,104.143.92.81,New York,New York City,VPN Consumer Network
852,173.239.232.167,Texas,Plano,North American Cable Television and Internet LLC
853,173.239.232.109,Texas,Plano,North American Cable Television and Internet LLC
854,66.69.10.7,Texas,San Antonio,Charter Communications Inc
855,173.239.232.84,Texas,Plano,North American Cable Television and Internet LLC
856,173.239.232.11,Texas,Plano,North American Cable Television and Internet LLC
857,173.239.198.173,California,San Francisco,VPN Consumer Network
858,173.239.232.55,Texas,Plano,North American Cable Television and Internet LLC
859,173.239.232.42,Texas,Plano,North American Cable Television and Internet LLC
860,104.143.92.30,New York,New York City,VPN Consumer Network
861,173.239.232.161,Texas,Plano,North American Cable Television and Internet LLC
862,104.143.92.53,New York,New York City,VPN Consumer Network
863,71.78.46.154,Texas,San Antonio,Chroma
864,174.255.134.225,Texas,Dallas,Verizon Wireless
865,72.190.232.108,Texas,San Antonio,Charter Communications Inc
866,107.77.219.175,Texas,Houston,AT&T Mobility LLC
867,172.56.6.37,Oklahoma,Jay,T-Mobile USA Inc.
868,104.237.80.58,Texas,Dallas,Micfo LLC.
869,72.181.105.69,Texas,San Antonio,Charter Communications Inc
870,166.251.109.229,Texas,San Antonio,Wireless Data Service Provider Corporation
871,107.77.217.21,Texas,Houston,AT&T Mobility LLC
872,70.117.13.185,Texas,San Antonio,Charter Communications Inc
873,136.62.157.140,Texas,Austin,Google Fiber Inc.
874,137.254.7.173,California,Belmont,Oracle Corporation
875,104.237.80.136,Texas,Dallas,Micfo LLC.
876,104.237.80.98,Texas,Dallas,Micfo LLC.
877,107.77.220.215,Texas,Houston,AT&T Mobility LLC
878,104.237.80.39,Texas,Dallas,Micfo LLC.
879,107.77.210.31,Minnesota,Hinckley,AT&T Mobility LLC
880,172.56.6.71,Oklahoma,Jay,T-Mobile USA Inc.
881,174.255.146.154,Texas,Paris,Verizon Wireless
882,71.136.252.51,Texas,San Antonio,AT&T Corp.
883,67.79.232.243,Texas,San Antonio,Freetail Brewing Co
884,24.26.248.56,Texas,San Antonio,Charter Communications Inc
885,72.191.33.138,Texas,Irving,Charter Communications Inc
886,104.237.80.140,Texas,Dallas,Micfo LLC.
887,40.128.78.90,Pennsylvania,Lancaster,Windstream Communications LLC
888,104.237.80.135,Texas,Dallas,Micfo LLC.
889,209.92.162.135,Illinois,Chicago,Windstream Communications LLC
890,107.77.220.108,Texas,Houston,AT&T Mobility LLC
891,104.237.80.11,Texas,Dallas,Micfo LLC.
892,104.237.80.87,Texas,Dallas,Micfo LLC.
893,71.42.116.142,Texas,San Antonio,Charter Communications Inc
894,104.237.80.25,Texas,Dallas,Micfo LLC.
895,174.255.134.83,Texas,Dallas,Verizon Wireless
896,107.77.218.26,Texas,San Antonio,AT&T Mobility LLC
897,72.181.96.144,Texas,San Antonio,Charter Communications Inc
898,104.237.80.70,Texas,Dallas,Micfo LLC.
899,172.56.6.36,Oklahoma,Jay,T-Mobile USA Inc.
900,104.237.80.41,Texas,Dallas,Micfo LLC.
901,198.96.95.149,Texas,Dallas,QuadraNet Inc
902,23.24.208.203,California,Pleasanton,Starbucks Level
903,198.55.125.205,Texas,Dallas,QuadraNet Inc
904,107.77.169.3,Texas,Houston,AT&T Mobility LLC
905,104.237.80.75,Texas,Dallas,Micfo LLC.
906,4.34.182.238,Texas,San Marcos,Level 3 Communications Inc.
907,71.198.180.6,California,Berkeley,Comcast Cable Communications LLC
908,72.181.99.110,Texas,San Antonio,Charter Communications Inc
909,172.56.6.77,Oklahoma,Jay,T-Mobile USA Inc.
910,99.203.91.97,Texas,Houston,Sprint Communications Inc.
911,104.237.80.83,Texas,Dallas,Micfo LLC.
912,172.56.7.119,Texas,Waxahachie,T-Mobile USA Inc.
913,172.56.7.90,Texas,Waxahachie,T-Mobile USA Inc.
914,148.66.37.55,Texas,San Antonio,Jump Fiber
915,172.56.7.58,Texas,Waxahachie,T-Mobile USA Inc.
