,title,content,author,category
81,"Hu mai, kya karloge: Sonakshi after troll calls her 'chamchi of Salman'","After a troll called Sonakshi Sinha ""biggest chamchi [sycophant] of Salman Khan"", the actress responded by saying, ""Yeah well, he gave me my first film...hu mai, kya karloge (I am, what will you do about it?)"" Sonakshi was reading 'mean comments' against her on social media when she came across the remark.",Arshiya Chopra,entertainment
82,"Have applied for Indian passport, hurts me to prove I'm an Indian: Akshay","Speaking at the Hindustan Times Leadership Summit, Akshay Kumar said, ""I have applied for an Indian passport...It hurts me that to prove that I'm an Indian, I have to show a copy...a passport."" ""I've never hidden or denied that I hold a Canadian passport. I work in India, and pay all my taxes in India,"" Akshay had earlier said.",Nandini Sinha,entertainment
83,Try sex change: Milind to man saying he won't find him attractive as a female,"Model-actor Milind Soman took to Instagram to share a picture of himself sitting in an auto-rickshaw with the caption, ""#Fridayface in a rickshaw on the way to the airport, best light, no filter."" Reacting to it, a user wrote, ""I wouldn't find this guy attractive as a female tbh."" ""If you try...sex change you might know for sure,"" Milind responded.",Anmol Sharma,entertainment
84,Alia is successful as she didn't inherit our father's genetic flaw: Pooja,"Pooja Bhatt said that her half-sister Alia Bhatt is so successful as she didn't inherit their father Mahesh Bhatt's ""genetic flaw of saying things as they are"" and added that ""too much truth doesn't go down well in Bollywood"". ""We say things...not how the people expect us to say them,"" Pooja further said about herself and half-sister Shaheen.",Nandini Sinha,entertainment
85,It motivates me: Ananya Panday on comparisons with Sara Ali Khan,"On being asked if comparisons with Sara Ali Khan disappoints her, Ananya Panday said that her comparison with either Sara, Janhvi Kapoor or Tara Sutaria motivates her. ""All of them are doing such great and interesting work,"" she added. Ananya further said that she believes in healthy competition because it sets a benchmark for her to work harder. ",Udit Gupta,entertainment
86,Priyanka Chopra tops IMDb 2019 list of Indian celebrities,"Actress Priyanka Chopra has been named as the top star of Indian cinema and television series in 2019, in a list released by the global film and TV website IMDb. Actress Disha Patani, who has attained the second position, is followed by Hrithik Roshan, Kiara Advani, Akshay Kumar and Salman Khan. Last year, Deepika Padukone topped the list. ",Udit Gupta,entertainment
87,"After four years, Shahid and dad Pankaj to reunite for 'Jersey'","Pankaj Kapur has joined the cast of the Hindi remake of Telugu film 'Jersey', which features his son Shahid Kapoor in the leading role. They last worked together in 2015 film 'Shaandaar'. In 'Jersey', Pankaj will play a ""mentor-like figure"" to Shahid's character, which is about a failed cricketer who decides to revive his cricketing career in his late 30s.",Udit Gupta,entertainment
88,Sorry: Jason to Chris after criticising him for using plastic bottle,"Actor Jason Momoa took to Instagram to apologise to Chris Pratt after he criticised him for a picture, wherein Chris was seen holding a plastic water bottle. ""I'm sorry this was received...badly today...I'm just very passionate about this single-use plastic epidemic,"" Jason wrote. ""I hope [you] make a reusable water bottle for amazon so we all can purchase,"" he added.",Udit Gupta,entertainment
89,Raveena Tandon shares throwback pic of her daughter with Salman,"Actress Raveena Tandon took to Instagram to share a throwback picture of her daughter, Rasha Thadani, with Salman Khan and wrote, ""How time flies... down [the] memory lane when @officialrashathadani was...5 years old."" ""Hanging with uncle [Salman]...must say he's...best ever with kids,"" she added. Salman and Raveena have worked together in films like 'Patthar Ke Phool' and 'Andaz Apna Apna'.",Udit Gupta,entertainment
90,Bravo Telangana Police: Rishi Kapoor on Hyderabad encounter,"After the four men accused of gangraping and murdering the 27-year-old Hyderabad veterinarian were killed in a police encounter, Rishi Kapoor on Friday took to Twitter and wrote, ""Bravo Telangana Police. My congratulations!"" While Anupam Kher wrote, ""Congratulations...to #TelenganaPolice for shooting down the four rapists...in an 'ENCOUNTER',"" Samantha Akkineni tweeted, ""Fear is a great solution.""",Udit Gupta,entertainment
91,I'm no one to tell her anything: Gera apologises to Kakkar for comic act,"Comedian Gaurav Gera has apologised to singer Neha Kakkar after she criticised his comedy act featuring a character named 'Neha Shakkar'. ""I wouldn't want to hurt her because I'm a fan...I'm no one to tell her anything...had no idea that she would be so hurt,"" Gera said. ""Shame on these people to create...insulting content!"" Neha earlier said.",Atul Mishra,entertainment
92,All I wanted to do was sleep: Deepika on fighting depression,"Deepika Padukone, in an interview with The New York Times, opened up about her battle with depression. ""Waking up every day felt like a huge endeavour. All I wanted to do was sleep. When I was asleep, I didn't have to deal with reality,"" she said. ""For months I suffered silently, not knowing what was happening to me,"" Deepika added.",Atul Mishra,entertainment
93,"I was bullied in school, that kind of scarred me in life: Armaan","Singer Armaan Malik has revealed that he went through ""a lot of bullying"" in his school days, adding, ""That kind of scarred me a lot in life."" ""Till date if you...ask me I don't...have...close friends and...reason for that is also bullying,"" he added. ""A lot of...people who bullied...were my friends and I...distanced myself from...that and concentrated on...music,"" Armaan further said. ",Udit Gupta,entertainment
94,Shooting of Emraan's Chehre stalled after fans refuse to leave sets,"The shooting of Emraan Hashmi and Amitabh Bachchan starrer 'Chehre' was stalled after a few fans entered the shooting premises in Delhi's Chhattarpur area and refused to leave from the location. Emraan was asked to leave the sets and police were called as the crowd was a ""bit of out of control"". ""I was overwhelmed...but it was...scary situation,"" Emraan said.",Udit Gupta,entertainment
95,I'd get emotional and just die if Karan ever directs me: Shanaya,"Sanjay Kapoor's daughter Shanaya Kapoor has said if the ""most amazing director"" Karan Johar will ever direct her, she'd get ""emotional"" and ""just die"". Shanaya, who's yet to sign her first film as an actress, added she doesn't want to rush and is open to ""all kinds of scripts"". ""I'm...trying to find someone who's making a great film,"" she added.",Udit Gupta,entertainment
96,"Director Menon arrested, let off on bail after Manju Warrier's complaint","Malayalam film director VA Shrikumar Menon was arrested on Thursday for allegedly threatening and defaming actress Manju Warrier on social media, police said. He was, however, later released on bail on two solvent sureties, police added. In October, Manju had filed complaint against Menon under various sections of Indian Penal Code, adding that she feared he might endanger her life.",Atul Mishra,entertainment
97,I never wanted the tag of an action hero: Akshay Kumar,"Akshay Kumar has said he doesn't want any kind of tag now, adding, ""I've come out of...game of tags when I used to do only action, I was bored."" ""I never wanted the tag of...action hero,"" he added. Akshay further said that he's comfortable playing all kinds of genres, adding, ""If anything new comes in, if it's risky...I'd...go for it.""",Udit Gupta,entertainment
98,I learnt a lot of things by just observing Salman: Sonakshi,"Actress Sonakshi Sinha, who made her Bollywood debut in Salman Khan starrer 'Dabangg', has said she learnt ""a lot of things"" by just observing Salman. ""If he'd let it (stardom) go to his head, he wouldn't have made a career...he has,"" she added. Sonakshi further said that all of her training happened when she first faced the camera in 'Dabangg'.",Udit Gupta,entertainment
99,Farhan to produce biopic on mathematician Vashishtha Narayan Singh,"Farhan Akhtar's production house, Excel Entertainment, will produce a biopic on late mathematician Vashishtha Narayan Singh, which will be directed by Neeraj Pathak. Neeraj, at a press meet, announced the possibility of casting popular actors, including Akshay Kumar and Aamir Khan. It'll be shot at different locations, including Vashishtha's ancestral home in Basantpur and NASA, California.",Udit Gupta,entertainment
